246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0, 246, 0
685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0, 685, 0
775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0, 775, 0
942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0, 942, 0
1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0, 1183, 0
1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0, 1412, 0
1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0, 1589, 0
1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0, 1840, 0
1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0, 1996, 0
2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0, 2268, 0
2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0, 2280, 0
2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0, 2292, 0
